,RI,na2o,mg,al2o3,sio2,k2o,cao,bao,fe2o3,label
284,1.5146162963686762,13.735937477908365,1.952784594845959,3.36975246474853,70.10979271573686,2.9092111139357484,6.157629973680329,1.603032130097429,0.0,5
285,1.519897184377288,13.162104630765715,0.0,1.7411611260067121,73.15330899341062,0.4545863758236736,11.355965123078095,0.0,0.0,5
286,1.520701132528287,13.23373113605563,0.11772859780888446,1.4392428659362948,72.65669879243069,0.25864933466128215,12.061193408166885,0.0,0.09989093147420501,5
287,1.514583749670819,13.731874835409492,1.9270955140378196,3.370770125543805,70.05575136071556,2.952633328883835,6.176218615559245,1.5819440786877625,0.0,5
288,1.5187873686459803,12.854573039168416,0.87374069388478,2.0145166682738043,72.95741665863098,0.8560338225367679,9.914932840915624,0.13024705995797964,0.27677500241070674,5
289,1.523337689437563,13.373765614261862,0.04650499424167168,1.5701353042517667,72.38488134322047,0.2932243972547951,12.10330350177448,0.0,0.039458782992933546,5
290,1.513551649978107,13.2158249890535,0.5301120915791739,3.1309893888531417,70.36329621864489,5.313952322815799,6.744394709021903,0.4351666423411127,0.0,5
291,1.5213763766091994,13.005038802529493,0.30539828758567567,1.515218545057584,73.30277574689467,0.14416462229915647,11.342314124369377,0.0,0.2591258197696642,5
292,1.5199483923605757,13.264492513372216,0.021112032073167253,1.7653763559937878,73.01885389611044,0.47380278838584994,11.298756837292839,0.0031471352158758403,0.0066876623337361885,5
293,1.520848367153945,12.894840773867898,0.25484077386789694,1.541885732298468,73.4719918830532,0.18693880767583565,11.329216359982869,0.0,0.2162285354030641,5
294,1.5206851838057531,13.303781665860809,0.0,1.724231177323849,72.86904029795733,0.4401926477698741,11.502818427011439,0.0,0.0,5
295,1.5205583533008755,12.850055221171235,1.6011093914310002,2.168122480177975,72.18938759911013,0.7611596445959565,9.702595395048093,0.2386746918903354,0.5071837202669628,5
296,1.5198938653571137,13.153740699926546,0.0,1.7397007571300318,73.16286777151252,0.45339152856093506,11.358753100024485,0.0,0.0,5
297,1.5156486578362742,12.901039971861334,0.0,2.1788397608213357,72.94780635343542,2.506067518238486,9.22021779406628,0.0,0.0,5
298,1.521024694372505,12.93748086016492,0.6768708249075364,1.6888552690929484,73.0620986733296,0.300725484134178,10.84454125382435,0.06503827967016304,0.34232835135057293,5
299,1.514687115286438,13.783557643219087,2.0670045291183348,3.394784359475535,70.0249504954553,2.7161453295126656,6.119315322112319,1.6967947627090807,0.0,5
300,1.5205326114228903,12.881098753728317,1.4907881107081147,2.1396416927890227,72.24293795397398,0.7385270509971138,9.819952335809226,0.2222292835838183,0.47223722761561393,5
301,1.521304933726745,12.022420789822112,1.7832142532930464,1.7786640944120062,72.6162433045899,0.573955061277839,10.797023604189294,0.08603177485062542,0.18281752155757902,5
302,1.5210451636755937,13.00476071785754,0.2917632103567072,1.5389672648812824,73.34828713857095,0.16939548023854412,11.275793452976256,0.0,0.2475566633329637,5
303,1.5201111207176556,13.228931027762679,0.04517586946105412,1.7257758564688983,73.07928276668478,0.4234551647977018,11.31315517129378,0.0,0.03833104075483382,5
304,1.514412965384777,13.629531108095833,1.6704389798978554,3.3191831008772277,70.19512851726968,3.3864594854711623,6.269303985562789,1.3712558790206275,0.0,5
305,1.5207763774689342,13.069269407455796,0.22080365179862577,1.5927245062131623,73.27087671105305,0.24250532844990072,11.286544901242632,0.0,0.18734855304125825,5
306,1.5206372002219324,13.383813501017162,0.0,1.4114405030514843,72.24809324949142,0.32936441649713977,12.483474828925633,0.0,0.0,5
307,1.520828057371796,12.814012174477496,0.5846467648254449,1.449757171474506,72.43969921624655,0.3735375250401927,12.161029269329928,0.0,0.0,5
308,1.522002958305067,13.122836161352572,0.22268950373117347,1.5327628325418723,73.00953551322871,0.19178483118508194,11.585427822365945,0.0,0.18894866983251085,5
309,1.5137318600758074,13.273097759878555,0.7246554420539884,3.1497890343977293,70.48098100445384,4.98511598787143,6.643382549038348,0.5948664076562591,0.0,5
310,1.522508437356618,13.418253448281313,0.0,1.5147603448439384,72.23087327585934,0.32362442528644786,12.334235057447644,0.0,0.0,5
311,1.5214212646209953,11.691961091185698,1.8766163822772897,1.5938361772271021,72.84082616623797,0.4846623434650775,11.261120820200752,0.0,0.0,5
312,1.5203983223877429,12.795830925303443,0.15583092530344328,1.583889910477327,73.58000262694169,0.26194626870951265,11.407224119457892,0.0,0.1322201790453458,5
313,1.5232116230162467,13.344324603249358,0.0,1.588371597215681,72.4029791962856,0.3271756547562981,12.155088085383806,0.0,0.0,5
314,1.5198267423021536,12.242516138279091,1.8098542702112193,1.7739734361668986,72.90506640958276,0.5942648957444598,10.528735475548817,0.0,0.0,5
315,1.5181907480449537,13.036195137770372,2.0485484096479754,2.2523125202682883,72.0201981361273,0.8583521474937507,9.080512905163307,0.5262728930428258,0.0,5
316,1.5202207825935556,13.085736422979188,0.7063437119131111,1.9398763489965065,72.65708561793407,0.5972296127048461,10.609269060062584,0.10529347258332089,0.2237486292395569,5
317,1.5201526462964918,12.392644554350927,0.4305817016854254,1.6293870461959103,73.54616079015956,0.4006129538040895,11.502516061594546,0.0,0.0,5
318,1.5179204489650526,12.79419342752737,0.9364781467258771,1.8451861321090683,73.27761675967362,0.7827043706548246,10.129503647709152,0.0,0.0,5
319,1.5208272769503304,13.165679539953382,0.17250183369605804,1.4575006112320192,72.84591542549548,0.2254534341236012,11.857038619860147,0.0,0.14636519222695835,5
320,1.51429346878365,13.586734391825036,1.534190070799087,3.3033311315550673,70.14224920083154,3.61676081316423,6.336019710010819,1.259409759611191,0.0,5
321,1.5205637317588838,12.860676033232519,1.5690752059420068,2.159578158034921,72.2016062577325,0.7526284532442125,9.741178985325433,0.23389940958141714,0.49703624536051144,5
322,1.5135376199944766,13.002737371681071,0.0,2.9094513733381016,70.84683085177724,5.644648922555085,7.306331480648507,0.0,0.0,5
323,1.519214115538801,12.737543004564817,1.8022276377561641,1.8489997850096431,72.7120004299807,0.5852282827272349,10.127086439110347,0.0,0.008800171992285591,5
324,1.514438272093739,13.642774515376418,1.7055799021869316,3.3254769974066147,70.18450756687633,3.3270608369750745,6.255404964060393,1.400102904780317,0.0,5
325,1.5189089123820696,13.141114047758705,0.0,1.7820049186753428,73.29720258391488,0.6271779905381634,10.958490621762225,0.0,0.0,5
326,1.522032059546803,13.409485758530119,0.0,1.4884572755903536,72.23525712073494,0.32508570691164707,12.372228379702824,0.0,0.0,5
327,1.518600944855121,12.754957052039956,1.6789979767632721,1.9672228902457323,72.50605728311292,1.1185520812746175,9.797910057606455,0.0,0.0,5
328,1.516139661838887,13.69090594668944,2.473087449806434,3.0911607441958453,70.58801824161685,1.410764392519215,6.922013207008252,1.6515570958724752,0.0,5
329,1.5143274418123895,13.603720906194726,1.5801737662645123,3.31122385540361,70.13212592459102,3.5390346413514027,6.3173173861088365,1.2971575693216146,0.0,5
330,1.5202304381281166,12.820666136625166,1.6686677267496683,2.0942208529483453,72.30466891934304,0.7208881821668878,9.795335055968211,0.1813322732503317,0.3853310806569548,5
331,1.520260689357536,13.2106893575362,0.0,1.4571995413729055,72.59319724823743,0.34143990827458115,12.278065779473126,0.0,0.0,5
332,1.5154486894384134,13.911465715419144,2.616106674842102,3.3737529478807797,70.10554374752063,1.5968616973849035,6.194855219477507,2.0306441983766557,0.0,5
333,1.5202155839248437,13.165583924843812,0.0,1.4724378632284418,72.68462717937065,0.3444875726456884,12.218941090673646,0.0,0.0,5
334,1.5204596675687394,12.95226565840206,0.2767969752061786,1.5615908119212814,73.46899843075447,0.26542588129336375,11.092656584020595,0.0,0.2348580395688788,5
335,1.5193159135404715,12.610486008982374,1.8401576713279604,1.838909295702772,72.74272676074307,0.5985939530468515,10.197562591915863,0.0,0.0,5
336,1.5159884213284753,12.890700739269693,0.0,2.0621743407270556,73.22760929051901,1.9754492110824549,9.554066418401778,0.0,0.0,5
337,1.52025036784069,13.339674413216146,0.0,1.5319746476562475,72.53594506992187,0.3813234740885407,12.0674164326823,0.0,0.0,5
338,1.5201006742622654,13.231438177056315,0.04241800523805317,1.7278651475469293,73.07627418753242,0.426296600663824,11.313573029509387,0.0,0.03599103474743903,5
339,1.5200865824046637,12.427965843051044,0.3690964954296647,1.6323304869209203,73.57526814844022,0.3976695130790797,11.506440649227894,0.0,0.0,5
340,1.51458502133399,12.972014491167094,0.3003777948065177,2.8614154499468696,70.97612368715134,5.193193179071105,7.446799063114319,0.0447768141326486,0.09515073003187828,5
341,1.5207014083317063,12.71140110805207,1.639009070407706,2.1044609890788863,72.25305988102681,0.7288421095620936,9.883724112582136,0.21421415963759466,0.45520508922988867,5
342,1.51859078623837,14.118435497464832,2.057502682025574,1.593448835720608,72.719005857333,0.0,9.434952011028042,0.0,0.0,6
343,1.5190321206495727,14.104120923076628,2.2206720341885147,1.5789310769230234,72.38367244444441,0.0,9.609965606837493,0.0,0.0,6
344,1.5151211301123013,14.424126001271336,1.9410500105944575,1.5721680016951132,73.67744295402005,0.0,8.261507035385488,0.0,0.0,6
345,1.517732182038065,14.6881272337325,2.064998286451782,1.5199990208295897,72.61672106787995,0.0,9.056091753410335,0.0,0.0,6
346,1.5192744280977841,13.849289976374786,2.394956274651174,1.2280517758823253,72.72637284922027,0.0,9.724868823953521,0.0,0.0,6
347,1.514073785229178,14.339245312650066,1.8281922880886152,1.5635179434902975,74.181552218652,0.0,7.929050351985121,0.0,0.0,6
348,1.5196370840719746,14.538743174212048,0.09904776271407836,0.6097500178015919,73.44336589598247,0.0,11.134068151069979,0.0,0.0,6
349,1.5186371189190748,14.382797297686938,1.7312842336237972,1.6860264264610612,72.61469384377024,0.0,9.524958108380856,0.0,0.0,6
350,1.515469761108219,14.162906853289416,2.000413784091953,1.4039629486086813,73.85426765145583,0.0,8.43731649152307,0.0,0.0,6
351,1.518352410277308,14.35960085824366,2.2264325484113052,1.6308539612709558,72.45869121921443,0.0,9.276280941906434,0.0,0.0,6
352,1.518480609627105,14.153367121613787,2.1985631245424035,1.6531495003660772,72.62033387765406,0.0,9.309724250549117,0.0,0.0,6
353,1.5151519251597632,14.257298669322564,1.971889662350833,1.547135066533872,73.77227774780798,0.0,8.296371586853306,0.0,0.0,6
354,1.5195411047098657,14.444816851028174,0.0,0.9898297998216925,73.27210846283134,0.0,11.124482266706291,0.0,0.0,6
355,1.5193426745067786,14.256090193431382,1.2970436387482138,1.1026960831582486,72.87760734769435,0.0,10.324551462788891,0.0,0.0,6
356,1.5138440008033471,14.343630310010095,1.8316007462335957,1.5428184844994952,74.24278518955502,0.0,7.86902996545003,0.0,0.0,6
357,1.5193067030338414,13.831538634041651,2.406043939615081,1.2631871171210052,72.68285682249407,0.0,9.730439396150807,0.0,0.0,6
358,1.5133851184115028,14.404473038620786,1.7772753218398853,1.5459640514943818,74.3882251032149,0.0,7.714499574945217,0.0,0.0,6
359,1.5182999659281835,14.453967990836238,2.2419669595099228,1.619213216196031,72.379868869366,0.0,9.264065049653839,0.0,0.0,6
360,1.5176698033019378,14.091102092281337,2.2419591000428274,1.5554448953859332,72.86650640293328,0.0,9.119044643207381,0.0,0.0,6
361,1.512614534572907,16.726225407752572,0.43518734255983754,0.6023046996251076,74.86551903259637,0.0,7.180570869696241,0.0,0.0,6
362,1.5188827058373906,14.983373459451677,0.789001050911472,1.7369628355820186,72.50143575045213,0.0,9.949006018917752,0.0,0.0,6
363,1.5194290523428946,13.932094700089777,1.9652620425761504,1.0737406999265455,72.89286777151253,0.0,10.037580928740491,0.0,0.0,6
364,1.5185127884186758,14.325154378169904,2.2839713984228576,1.6024114406308572,72.37706857343848,0.0,9.350874223407239,0.0,0.0,6
365,1.5170214096392667,14.174007777907294,2.0680532256184443,1.6274808601649184,73.17946652408294,0.0,8.851182400710908,0.0,0.0,6
366,1.5186663869781212,14.103723779198843,1.689082059242221,1.7583537509250433,72.68601107573198,0.0,9.676818259169925,0.0,0.0,6
367,1.5183462739353177,14.425939460202319,2.2511066977601137,1.6155573208959546,72.37925955348265,0.0,9.282953842037568,0.0,0.0,6
368,1.5148898683612846,14.421507943712657,1.9192328642721364,1.5686772582835418,73.77212936905893,0.0,8.188637766668935,0.0,0.0,6
369,1.5120039549687,16.99879079416232,0.25375324036003405,0.49294715857317123,75.09251877690114,0.0,6.959370388932097,0.0,0.0,6
370,1.5180736791784073,14.909231021266601,0.9114207111594302,1.7126206851751187,72.78063797695503,0.0,9.626924085066399,0.0,0.0,6
371,1.5185122541051717,14.659651992781395,1.6900152651682347,1.665204224780693,72.42520422478069,0.0,9.519924292488984,0.0,0.0,6
372,1.513707841732111,16.58915372060217,0.25810045938506637,0.8032572347937088,74.44708674767878,0.0,7.741963482013743,0.0,0.0,6
373,1.518857118993897,14.93279748474258,0.8696172739032934,1.734915331977118,72.51080491954862,0.0,9.909958239319804,0.0,0.0,6
374,1.5186848206305095,14.062011591045591,2.2521964643431325,1.6289017678284337,72.5767053034853,0.0,9.397745580428916,0.0,0.0,6
375,1.5165665283932581,14.440489000678395,2.0774083389866265,1.5939853342378603,73.08564780879804,0.0,8.716943852215332,0.0,0.0,6
376,1.5165271975343515,14.979595673267768,1.5978375305603603,1.3030801554062446,73.4108790713537,0.0,8.598048496162631,0.0,0.0,6
377,1.5192540183908338,13.866112931015405,2.4027511494271043,1.3241037355985712,72.61864741382854,0.0,9.697511494271042,0.0,0.0,6
378,1.518971357678513,14.94150147930782,0.6920259392095347,1.6069110362400654,72.6105315122752,0.0,10.093239816928065,0.0,0.0,6
379,1.5189686173136125,13.931664477548583,2.306112716464371,1.411941014826116,72.71750065673542,0.0,9.557503283677123,0.0,0.0,6
380,1.5136513561800389,14.362925783759128,1.7938174106722358,1.5543513095125963,74.32516281763598,0.0,7.796898045473262,0.0,0.0,6
381,1.5190205100542609,14.645893744667594,1.2474109968265181,1.5822846329726472,72.57455635532202,0.0,9.898384061700138,0.0,0.0,6
382,1.5187998814931183,14.202431027150059,1.6661192564710054,1.3968635534785871,72.86376411062031,0.0,9.774508407627895,0.0,0.0,6
383,1.5189970856179342,13.92161684072915,2.3134809834652894,1.3961997171423368,72.72051494778125,0.0,9.572574738906273,0.0,0.0,6
384,1.5189189355794077,14.763257508155016,1.1487428402731568,1.698774092391821,72.47022573339409,0.0,9.862967528382732,0.0,0.0,6
385,1.5158984560625863,14.691339401854991,1.265956227490185,1.638759119272878,73.537719027453,0.0,8.755357607419961,0.0,0.0,6
386,1.5185984123693352,14.737048399572457,1.4768100691022887,1.6827279395258394,72.44272793952584,0.0,9.620685652273576,0.0,0.0,6
387,1.5191605049010044,14.303049222030259,1.7131081400755641,1.4251475600972023,72.64883933522678,0.0,9.846957383304538,0.0,0.0,6
388,1.5188871173554883,14.96864793353496,0.7601730811396058,1.7488966943604334,72.50610059041858,0.0,9.973639787872008,0.0,0.0,6
389,1.518968002515485,14.04963005641692,2.3738162859510044,1.5664734856195983,72.37107891426993,0.0,9.536553657632076,0.0,0.0,6
390,1.5183461966031524,14.099743047562887,2.1758568664409697,1.6562284977175918,72.72908686909106,0.0,9.26562750876195,0.0,0.0,6
391,1.518650892251945,14.417230629862598,1.6773386798819303,1.6890871670988976,72.60818976991484,0.0,9.549061440903818,0.0,0.0,6
392,1.5191027974160851,13.884306794322898,2.340841684163208,1.3377473111058735,72.73170796170314,0.0,9.628539808515653,0.0,0.0,6
393,1.5148981659938838,15.706802426068128,1.113769813650699,1.0113133123374076,74.01651630620871,0.0,8.007883745409757,0.0,0.0,6
394,1.5183898282081598,14.398069537530484,2.2557136994325644,1.5802535837882201,72.41512473990808,0.0,9.307141098297691,0.0,0.0,6
395,1.5192123513681213,14.060254797506405,0.6007942722487887,1.8656369937660124,72.74498584458297,0.0,10.60328562564475,0.0,0.0,6
396,1.518532125924591,14.677502949208884,1.6408409323679807,1.6692459507642756,72.42924595076427,0.0,9.543164216894585,0.0,0.0,6
397,1.518346223238135,14.369553921260929,2.2277775569271525,1.6297779544582782,72.45089016982251,0.0,9.274666931687417,0.0,0.0,6
398,1.5195687369722894,14.466192752148435,0.0,0.9100611932021824,73.3106893575362,0.0,11.142208623732849,0.0,0.0,6
399,1.5196407328577095,14.516891250495876,0.18398198449081526,0.636979909828793,73.39455230009004,0.0,11.092983148782492,0.0,0.0,6
400,1.5190007422530047,14.286853938384631,1.9235001608088336,1.6121552615244783,72.40766768887879,0.0,9.680105552107232,0.0,0.0,6
401,1.518927471821687,14.074161792136842,2.3658168069118997,1.5696732772352404,72.37161221287255,0.0,9.52002140095126,0.0,0.0,6
402,1.5190724967512503,13.98523650699194,2.391406046953149,1.533988131366752,72.3974179155864,0.0,9.584060469531485,0.0,0.0,6
403,1.517396770534033,15.448592292841044,0.6303338960602453,1.4713685313901836,73.05836969546755,0.0,9.316797252562576,0.0,0.0,6
404,1.5189423213613933,14.62706971894532,1.3702199520182183,1.6740126761718763,72.45234248834636,0.0,9.81069342747396,0.0,0.0,6
405,1.5190281483003318,14.12725401571416,2.183051550202226,1.5831370937662108,72.3867101232756,0.0,9.618844975728667,0.0,0.0,6
406,1.5192031212653643,13.848898376930265,2.3668078569178053,1.282274123857416,72.74233048692092,0.0,9.681652434604601,0.0,0.0,6
407,1.5189322396164882,14.833281150535731,0.6344753540688921,1.8052995206101126,72.54477681413265,0.0,10.123510154764013,0.0,0.0,6
408,1.5177281598188712,14.443480894967973,1.9547042066930513,1.5181778780067705,72.96438834413746,0.0,9.033132525968242,0.0,0.0,6
409,1.5172311757425527,14.813347296234909,0.0,1.9366527037650916,73.01049790556476,0.0,8.555338918493963,1.5773305407530185,0.05466108150603666,7
410,1.5167324991644455,14.653600802132171,0.0,1.9839000334221737,73.21979939840088,0.0,8.426399197867829,1.624600467910433,0.04269976604478347,7
411,1.5168260506199225,13.79827381204655,0.5571289948012113,2.3214853343743753,73.08821567497574,0.21673034060136442,9.313253048806976,0.6748878785062932,0.008331949117361643,7
412,1.5165782898435958,14.907060715833524,0.0,1.8925374049560104,73.0943971811843,0.0,8.645728948508912,1.416406577236632,0.013869172280621766,7
413,1.5161212848486059,14.986536363545605,0.0,2.416145454182422,73.14776515189331,0.03044696962133796,8.783072727091211,0.5847484850602538,0.0,7
414,1.52343496141641,15.6205204383571,1.8974273524815832,1.4466770658410468,70.39901986507604,0.39200623950462804,8.819571500956272,1.3738433725160553,0.0,7
415,1.5172218030166587,14.798927717936468,0.0,1.9510722820635304,73.01266084230953,0.0,8.549571087174588,1.580214456412706,0.0604289128254122,7
416,1.515838856595468,14.242037409877899,0.0,2.786465707611926,72.81832637850071,0.06299376502035021,9.137484412550876,0.8814345327136772,0.0,7
417,1.515879978920503,15.039111832801547,0.0,2.4559351676542707,73.14357374829068,0.039602916856590564,8.728108585194587,0.5507941662868189,0.0,7
418,1.5156395762884816,14.85,0.0,2.3972919868872005,73.4702118557592,0.0,8.600049121293397,0.6054160262255993,0.05109302950379923,7
419,1.5163946767402825,14.36279794273522,0.0,2.7443838609437785,72.84248480981066,0.0025050633964446866,9.441545411036998,0.5562829120768905,0.0,7
420,1.5153024466821672,14.8657715225405,0.0,2.39634271618925,73.6537596053299,0.0,8.440468872129602,0.5773486747945502,0.0,7
421,1.5169871819413063,14.882536879994536,0.0,1.8854532853402555,73.04397049600436,0.0,8.461581135987977,1.6219606613391626,0.0,7
422,1.5190140780229526,14.367903004720036,0.0,1.9883879811198548,73.49507854484034,0.0,8.455806009440073,1.612339483479873,0.0,7
423,1.5155519324752373,13.889802106235674,0.0,2.550267758788869,73.241734581473,0.13559953194762767,9.38506401436989,0.7953317731587589,0.012933645368248231,7
424,1.516400903970995,14.199090397099495,0.8727296132594531,1.8172727199585643,72.84636359979282,1.5054548014502527,6.186362875690677,2.4190896729973512,0.0,7
425,1.515427355876549,14.85,0.0,2.4069383692477664,73.57632206172543,0.0,8.51082008445816,0.5861232615044669,0.029388669192525183,7
426,1.5158478025371485,14.011753488446217,0.0,2.64738900639865,73.32879788588676,0.09704439744053994,9.251064270529998,0.6338820295062138,0.044364482047568043,7
427,1.5168395833147994,14.732499666390703,0.0,1.9847916573997417,73.17979187980595,0.0,8.462500111203099,1.5795833147994836,0.036458398201807664,7
428,1.5225158170112678,14.896110017355104,2.1856336490092594,2.030879018262012,70.26660075586062,0.7425274109572071,9.715347828001752,0.06523099909309349,0.0,7
429,1.5162694084328896,14.292266924339074,0.0,2.7089067697356306,72.9090771375023,0.02176526118505881,9.443781353947125,0.5819758608568991,0.0015546615132184857,7
430,1.5189194637028303,15.1622511074846,0.46240419844859293,1.6761868539673166,72.3431394819517,0.07833076585741194,8.61,1.5828483856821405,0.0,7
431,1.5162895442419886,14.769046180141638,0.0,2.3768246294088735,73.48253546174881,0.0,8.692227594137885,0.6139692132389081,0.0,7
432,1.5169942903263858,14.36637211533093,0.0,2.038675116566385,73.33107258159647,0.0,8.578675116566384,1.6286751165663849,0.02892741840353063,7
433,1.516206721055867,14.188534251397165,0.0,2.7813138268160347,73.45200872067075,0.04347446927358621,9.052855536312268,0.41424532402170344,0.08722042458113104,7
434,1.518542610060058,13.701024726505274,1.312505612726473,2.025214864469557,72.89597911053369,0.32076424606412507,9.182079863658277,0.49169774062621463,0.006070342476866847,7
435,1.5156652793619776,14.156559950921352,0.0,2.71035991002248,73.40931994274158,0.06896003271909827,9.061720024539323,0.5520401717752659,0.06103996728090173,7
436,1.5165685094022816,14.934074529885917,0.0,1.90555282068449,73.0951863247148,0.0,8.590006153459898,1.4422174361978572,0.0,7
437,1.5156070035921099,14.178011395984491,0.0,2.6899160163437803,73.30075585290598,0.0667786448749598,9.132801436843941,0.5984313142655898,0.04173665304684988,7
438,1.5172393526427872,14.694996349842818,0.0,2.345003650157182,73.27718544678659,0.0006254562696477573,8.952032732876354,0.6596872718651762,0.0,7
439,1.5188971178698756,14.368468029614128,0.0,1.9861278815434904,73.5004462813342,0.0,8.456936059228255,1.6103618963505542,0.0,7
440,1.515758007584177,14.163692891090534,0.0,2.7234369669993126,73.41764170627229,0.06420473927297721,9.058153554454734,0.5270748811831304,0.0657952607270228,7
441,1.5196345309154757,14.474460388140034,0.0,2.0141302365056393,73.30260473011279,0.0,8.466413935724622,1.625325591264098,0.02347905397744305,7
442,1.5236333858091962,15.77690576487497,1.8352095344045813,1.3205598670363135,70.42760643013844,0.316335920221788,8.626191796122347,1.656345897838658,0.0,7
443,1.5163246340368248,14.94835885473247,0.0,2.4761967913049028,73.09573375294042,0.04005787979555975,8.853861088490657,0.5558495125315447,0.0,7
444,1.5179600920195735,14.162884886306323,1.9012363798455671,1.8679376727578645,72.28021114580616,0.21938011591102602,8.98463727150397,0.540619884088974,0.0,7
445,1.5178527785865195,14.257277179730943,0.0,2.0674105324318726,73.37258946756813,0.0,8.582231597295616,1.6637052662159362,0.0,7
446,1.5164306947462836,14.759106003782847,0.0,2.371523202017519,73.45337761109636,0.0,8.729337585877365,0.6205959974781012,0.0,7
447,1.516180621588604,14.120101237198604,0.0,2.8549422986945387,72.65569345532172,0.08442194728919906,9.196950797941929,1.0415752196283372,0.0007369912148665111,7
448,1.515441248018057,13.602769256375485,3.248849216429728,1.6076246747911278,72.65996312096584,1.3552493495822557,6.616338113293389,0.7747816603473139,0.0,7
449,1.5227443576523438,13.514835485521473,3.3331967740435022,1.314189921211657,72.28390443336447,0.6731346790323485,8.571477413653094,0.13861572886363738,0.0,7
450,1.5159475366489001,14.986006172446368,0.0,2.496503472001082,73.15047415288083,0.04250192888948997,8.764016974227513,0.5344988426663061,0.0,7
451,1.5154994395741552,14.018648317982684,0.0,2.6170769056206518,73.3180878921379,0.10696704044829221,9.22281322920699,0.6998901348276407,0.032021973034471865,7
452,1.51684809179767,14.885652358063451,0.0,1.9890458988350959,73.0819443267928,0.0,8.41144921397885,1.5880917976701918,0.006678708154328792,7
453,1.516522583634956,12.851088352841787,0.0,1.4681136891486997,74.59781534404873,1.698790719064681,8.76313178651078,0.5821846559512782,0.0,7
454,1.5169879931641248,14.76655793736682,0.0,1.996688412526636,73.04980428726027,0.0,8.4472103131659,1.6297390496803672,0.05350730021308858,7
455,1.5171579543230518,14.663028166213174,0.0,1.9332068006249745,73.02648058915437,0.47104947716932966,7.675319465477669,2.100870842757529,0.0,7
